Pradako ID,Authority,Standard,Title,Lifecycle,File,Authority Hub,Page Source,Previous Path
PRA-SPC-00001,ASTM,ASTM A36/A36M,Standard Specification for Carbon Structural Steel,Current-use reference,specifications/astm/astm-a36-a36m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a36-a36m/index.html
PRA-SPC-00002,ASTM,ASTM A47/A47M,Standard Specification for Ferritic Malleable Iron Castings,Current-use reference,specifications/astm/astm-a47-a47m.html,specifications/astm/astm-specifications.html,generated_from_master_record,specifications/astm/astm-a47-a47m/index.html
PRA-SPC-00003,ASTM,ASTM A48/A48M,Standard Specification for Gray Iron Castings,Current-use reference,specifications/astm/astm-a48-a48m.html,specifications/astm/astm-specifications.html,generated_from_master_record,specifications/astm/astm-a48-a48m/index.html
PRA-SPC-00004,ASTM,ASTM A123/A123M,Standard Specification for Zinc (Hot-Dip Galvanized) Coatings on Iron and Steel Products,Current-use reference,specifications/astm/astm-a123-a123m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00005,ASTM,ASTM A153/A153M,Standard Specification for Zinc Coating (Hot-Dip) on Iron and Steel Hardware,Current-use reference,specifications/astm/astm-a153-a153m.html,specifications/astm/astm-specifications.html,generated_from_master_record,specifications/astm/astm-a153-a153m/index.html
PRA-SPC-00006,ASTM,ASTM A193/A193M,Standard Specification for Alloy-Steel and Stainless Steel Bolting for High Temperature or High Pressure Service and Other Special Purpose Applications,Current-use reference,specifications/astm/astm-a193-a193m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a193-a193m/index.html
PRA-SPC-00007,ASTM,ASTM A194/A194M,"Standard Specification for Carbon Steel, Alloy Steel, and Stainless Steel Nuts for Bolts for High Pressure or High Temperature Service, or Both",Current-use reference,specifications/astm/astm-a194-a194m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a194-a194m/index.html
PRA-SPC-00008,ASTM,ASTM A307,"Standard Specification for Carbon Steel Bolts, Studs, and Threaded Rod 60 000 PSI Tensile Strength",Current-use reference,specifications/astm/astm-a307.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a307/index.html
PRA-SPC-00009,ASTM,ASTM A320/A320M,Standard Specification for Alloy-Steel and Stainless Steel Bolting for Low-Temperature Service,Current-use reference,specifications/astm/astm-a320-a320m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a320-a320m/index.html
PRA-SPC-00010,ASTM,ASTM A325,"Standard Specification for Structural Bolts, Steel, Heat Treated, 120/105 ksi Minimum Tensile Strength",Legacy / Superseded,specifications/astm/astm-a325.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a325/index.html
PRA-SPC-00011,ASTM,ASTM A325M,"Standard Specification for Structural Bolts, Steel, Heat Treated 830 MPa Minimum Tensile Strength (Metric)",Legacy / Superseded,specifications/astm/astm-a325m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00012,ASTM,ASTM A354,"Standard Specification for Quenched and Tempered Alloy Steel Bolts, Studs, and Other Externally Threaded Fasteners",Current-use reference,specifications/astm/astm-a354.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a354/index.html
PRA-SPC-00013,ASTM,ASTM A394,"Standard Specification for Steel Transmission Tower Bolts, Zinc-Coated and Bare",Current-use reference,specifications/astm/astm-a394.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a394/index.html
PRA-SPC-00014,ASTM,ASTM A449,"Standard Specification for Hex Cap Screws, Bolts and Studs, Steel, Heat Treated, 120/105/90 ksi Minimum Tensile Strength, General Use",Current-use reference,specifications/astm/astm-a449.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a449/index.html
PRA-SPC-00015,ASTM,ASTM A490,"Standard Specification for Structural Bolts, Alloy Steel, Heat Treated, 150 ksi Minimum Tensile Strength",Legacy / Superseded,specifications/astm/astm-a490.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a490/index.html
PRA-SPC-00016,ASTM,ASTM A490M,"Standard Specification for High-Strength Steel Bolts, Classes 10.9 and 10.9.3, for Structural Steel Joints (Metric)",Legacy / Superseded,specifications/astm/astm-a490m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
