Old Path,New Path,Pradako ID,Standard
specifications/astm/astm-a36-a36m/index.html,specifications/astm/astm-a36-a36m.html,PRA-SPC-00001,ASTM A36/A36M
specifications/astm/astm-a47-a47m/index.html,specifications/astm/astm-a47-a47m.html,PRA-SPC-00002,ASTM A47/A47M
specifications/astm/astm-a48-a48m/index.html,specifications/astm/astm-a48-a48m.html,PRA-SPC-00003,ASTM A48/A48M
specifications/astm/astm-a153-a153m/index.html,specifications/astm/astm-a153-a153m.html,PRA-SPC-00005,ASTM A153/A153M
specifications/astm/astm-a193-a193m/index.html,specifications/astm/astm-a193-a193m.html,PRA-SPC-00006,ASTM A193/A193M
specifications/astm/astm-a194-a194m/index.html,specifications/astm/astm-a194-a194m.html,PRA-SPC-00007,ASTM A194/A194M
specifications/astm/astm-a307/index.html,specifications/astm/astm-a307.html,PRA-SPC-00008,ASTM A307
specifications/astm/astm-a320-a320m/index.html,specifications/astm/astm-a320-a320m.html,PRA-SPC-00009,ASTM A320/A320M
specifications/astm/astm-a325/index.html,specifications/astm/astm-a325.html,PRA-SPC-00010,ASTM A325
specifications/astm/astm-a354/index.html,specifications/astm/astm-a354.html,PRA-SPC-00012,ASTM A354
specifications/astm/astm-a394/index.html,specifications/astm/astm-a394.html,PRA-SPC-00013,ASTM A394
specifications/astm/astm-a449/index.html,specifications/astm/astm-a449.html,PRA-SPC-00014,ASTM A449
specifications/astm/astm-a490/index.html,specifications/astm/astm-a490.html,PRA-SPC-00015,ASTM A490
specifications/astm/astm-a536/index.html,specifications/astm/astm-a536.html,PRA-SPC-00017,ASTM A536
specifications/astm/astm-a563-a563m/index.html,specifications/astm/astm-a563-a563m.html,PRA-SPC-00018,ASTM A563/A563M
specifications/astm/astm-a572/index.html,specifications/astm/astm-a572-a572m.html,PRA-SPC-00019,ASTM A572/A572M
specifications/astm/astm-a574/index.html,specifications/astm/astm-a574.html,PRA-SPC-00020,ASTM A574
specifications/astm/astm-a588-a588m/index.html,specifications/astm/astm-a588-a588m.html,PRA-SPC-00021,ASTM A588/A588M
specifications/astm/astm-a615-a615m/index.html,specifications/astm/astm-a615-a615m.html,PRA-SPC-00022,ASTM A615/A615M
specifications/astm/astm-a668-a668m/index.html,specifications/astm/astm-a668-a668m.html,PRA-SPC-00023,ASTM A668/A668M
specifications/astm/astm-a706-a706m/index.html,specifications/astm/astm-a706-a706m.html,PRA-SPC-00024,ASTM A706/A706M
specifications/astm/astm-b695/index.html,specifications/astm/astm-b695.html,PRA-SPC-00026,ASTM B695
specifications/astm/astm-f436-f436m/index.html,specifications/astm/astm-f436-f436m.html,PRA-SPC-00028,ASTM F436/F436M
specifications/astm/astm-f593/index.html,specifications/astm/astm-f593.html,PRA-SPC-00029,ASTM F593
specifications/astm/astm-f594/index.html,specifications/astm/astm-f594.html,PRA-SPC-00030,ASTM F594
specifications/astm/astm-f837/index.html,specifications/astm/astm-f837.html,PRA-SPC-00035,ASTM F837
specifications/astm/astm-f844/index.html,specifications/astm/astm-f844.html,PRA-SPC-00036,ASTM F844
specifications/astm/astm-f879/index.html,specifications/astm/astm-f879.html,PRA-SPC-00037,ASTM F879
specifications/astm/astm-f880/index.html,specifications/astm/astm-f880.html,PRA-SPC-00038,ASTM F880
specifications/astm/astm-f1554/index.html,specifications/astm/astm-f1554.html,PRA-SPC-00042,ASTM F1554
specifications/astm/astm-f1941-f1941m/index.html,specifications/astm/astm-f1941-f1941m.html,PRA-SPC-00046,ASTM F1941/F1941M
specifications/astm/astm-f2329-f2329m/index.html,specifications/astm/astm-f2329-f2329m.html,PRA-SPC-00049,ASTM F2329/F2329M
specifications/astm/astm-f3125-f3125m/index.html,specifications/astm/astm-f3125-f3125m.html,PRA-SPC-00055,ASTM F3125/F3125M
specifications/astm/astm-a437-a437m/index.html,specifications/astm/astm-a437-a437m.html,PRA-SPC-00059,ASTM A437/A437M
specifications/astm/astm-a453-a453m/index.html,specifications/astm/astm-a453-a453m.html,PRA-SPC-00060,ASTM A453/A453M
specifications/astm/astm-a489/index.html,specifications/astm/astm-a489.html,PRA-SPC-00061,ASTM A489
specifications/astm/astm-a540-a540m/index.html,specifications/astm/astm-a540-a540m.html,PRA-SPC-00063,ASTM A540/A540M
specifications/astm/astm-a1014-a1014m/index.html,specifications/astm/astm-a1014-a1014m.html,PRA-SPC-00064,ASTM A1014/A1014M
specifications/astm/astm-a1082-a1082m/index.html,specifications/astm/astm-a1082-a1082m.html,PRA-SPC-00065,ASTM A1082/A1082M
specifications/astm/astm-f467/index.html,specifications/astm/astm-f467.html,PRA-SPC-00067,ASTM F467
specifications/astm/astm-f468/index.html,specifications/astm/astm-f468.html,PRA-SPC-00069,ASTM F468
specifications/astm/astm-f2281/index.html,specifications/astm/astm-f2281.html,PRA-SPC-00076,ASTM F2281
specifications/iso/iso-898-1/index.html,specifications/iso/iso-898-1.html,PRA-SPC-00084,ISO 898-1:2013
specifications/iso/iso-898-2/index.html,specifications/iso/iso-898-2.html,PRA-SPC-00085,ISO 898-2:2022
specifications/iso/iso-898-3/index.html,specifications/iso/iso-898-3.html,PRA-SPC-00086,ISO 898-3:2018
specifications/iso/iso-898-5/index.html,specifications/iso/iso-898-5.html,PRA-SPC-00087,ISO 898-5:2012
specifications/iso/iso-898-6/index.html,specifications/iso/iso-898-6.html,PRA-SPC-00088,ISO 898-6:1994
specifications/iso/iso-3506-1/index.html,specifications/iso/iso-3506-1.html,PRA-SPC-00089,ISO 3506-1:2020
specifications/iso/iso-3506-2/index.html,specifications/iso/iso-3506-2.html,PRA-SPC-00090,ISO 3506-2:2020
specifications/iso/iso-3506-3/index.html,specifications/iso/iso-3506-3.html,PRA-SPC-00091,ISO 3506-3:2025
specifications/iso/iso-3506-4/index.html,specifications/iso/iso-3506-4.html,PRA-SPC-00092,ISO 3506-4:2025
specifications/en/en-10088-3/index.html,specifications/en/en-10088-3.html,PRA-SPC-00196,EN 10088-3
specifications/en/en-10095/index.html,specifications/en/en-10095.html,PRA-SPC-00200,EN 10095:1999
specifications/en/en-10269/index.html,specifications/en/en-10269.html,PRA-SPC-00205,EN 10269:2013
specifications/sae/sae-j429/index.html,specifications/sae/sae-j429.html,PRA-SPC-00427,SAE J429
