product_id,family,category,product_name,current_size_range,current_grades,current_materials,current_finishes,current_standards,current_drive,current_head,current_thread_type,verified_size_range,verified_grades,verified_materials,verified_finishes,verified_standards,verified_drive,verified_head,verified_thread_type
bolts-precision-and-engineering-bolts-12-point-bolt,Bolts,Precision and Engineering Bolts,12 Point Bolt,M6 – M24,10.9; 12.9,10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 6900; ISO 14579; ASME B18.2.1,12-point (double hex),Flange / 12-point,Metric fine,,,,,,,,
bolts-automotive-bolts-allen-bolt-with-knurling,Bolts,Automotive Bolts,Allen Bolt with Knurling,M1.6 – M36,8.8; 10.9; 12.9; A2-70; A4-80,10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 912; ISO 4762; ASME B18.3; IS 2269,Hex socket,Cylindrical / Cap,Metric coarse & fine,,,,,,,,
bolts-standard-bolts-general-purpose-allen-bolts,Bolts,Standard Bolts (General Purpose),Allen Bolts,M1.6 – M36,8.8; 10.9; 12.9; A2-70; A4-80,10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 912; ISO 4762; ASME B18.3; IS 2269,Hex socket,Cylindrical / Cap,Metric coarse & fine,,,,,,,,
bolts-anchor-and-fastening-bolts-anchor-bolts,Bolts,Anchor and Fastening Bolts,Anchor Bolts,M12 – M64  |  300 – 3000 mm length,4.6; 8.8; F1554 Gr36/55/105; A2-70,Low carbon; 42CrMo4; AISI 304 / 316,Hot dip galvanised; Zinc; Plain; Epoxy,IS 5624; ASTM F1554 Gr36/55/105; DIN 529; EN 1992-4,External hex / Threaded end,L / J / Bent / Headed / Plate,"Metric coarse, rolled or cut",,,,,,,,
bolts-security-and-anti-theft-bolts-anti-theft-bolts,Bolts,Security and Anti Theft Bolts,Anti Theft Bolts,M4 – M20,8.8; 10.9; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Trivalent zinc (blue/yellow/black); Zinc flake; Black oxide; Phosphate; Hot dip galvanised; Plain,Manufacturer standard; DIN 7500 (form); ISO 7045 (reference),Pin-Torx / Two-hole / One-way / Shear-off,Button / Mushroom / Shear nut,Metric coarse,,,,,,,,
bolts-specialty-bolts-high-strength-and-custom-applications-blade-bolts,Bolts,Specialty Bolts (High Strength and Custom Applications),Blade Bolts,M16 – M64,8.8; 10.9,42CrMo4 / AISI 4140; 34CrNiMo6,Zinc flake; Hot dip galvanised; Xylan,ISO 898-1; EN 14399; DIN 6914; IEC 61400 (ref),External hex / Hex socket,Hex / Heavy hex / Cap,"Metric coarse, rolled",,,,,,,,
bolts-standard-bolts-general-purpose-carriage-bolts,Bolts,Standard Bolts (General Purpose),Carriage Bolts,M5 – M24,4.6; 4.8; 8.8; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Trivalent zinc (blue/yellow/black); Zinc flake; Black oxide; Phosphate; Hot dip galvanised; Plain,DIN 603; DIN 605; ISO 8677; ASME B18.5; IS 2609,None (square neck anti-rotation),Cup / Mushroom / Dome,Metric coarse,,,,,,,,
bolts-automotive-bolts-countersunk-bolts,Bolts,Automotive Bolts,Countersunk Bolts,M3 – M24,8.8; 10.9; 12.9; A2-70,10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 7991; ISO 10642; DIN 963; ISO 2009; ASME B18.3,Hex socket / Phillips / Torx,Countersunk 90°,Metric coarse,,,,,,,,
bolts-specialty-bolts-high-strength-and-custom-applications-crash-barrier-bolts,Bolts,Specialty Bolts (High Strength and Custom Applications),Crash Barrier Bolts,M10 – M24,4.6; 8.8,Low carbon; Medium carbon,Hot dip galvanised 610 g/m²; Mechanical zinc,EN 1317; AASHTO M180; IS 5624; MORTH Section 800,External hex,Mushroom / Oval / Hex,Metric coarse,,,,,,,,
bolts-construction-and-infrastructure-bolts-cup-head-bolts,Bolts,Construction and Infrastructure Bolts,Cup Head Bolts,M5 – M24,4.6; 4.8; 8.8; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Trivalent zinc (blue/yellow/black); Zinc flake; Black oxide; Phosphate; Hot dip galvanised; Plain,DIN 603; DIN 605; ISO 8677; ASME B18.5; IS 2609,None (square neck anti-rotation),Cup / Mushroom / Dome,Metric coarse,,,,,,,,
